open,high,low,close,volume
48.75,49,48.28,49.22,9187991.0
49.77,50,49.45,50.22,10897774.0
52.63,54,52.5,53.69,41837891.0
53.69,54,53.34,54.13,21324978.0
54.57,55,54.45,55.19,18897709.0
55.19,56,54.86,55.76,137767165.0
55.47,55,54.37,54.395,19042013.0
54.04,54,53.66,53.93,11940800.0
53.62,53,51.93,52.01,14237851.0
50.84,51,50.25,51.265,14242731.0
51.38,52,51.38,52.66,9003971.0
53.24,53,53.05,53.64,8167282.0
53.66,53,52.68,52.78,8386414.0
51.1,51,50.11,50.44,15191509.0
50.48,50,49.15,49.175,14109775.0
48.35,48,47.67,48.08,13323351.0
48.3,48,47.49,47.495,9393200.0
47.8,49,47.73,48.74,11180048.0
48.86,49,47.72,47.84,11576174.0
48.16,48,47.72,47.73,11713378.0
47.47,48,47.47,47.79,9350279.0
47.49,47,46.88,47.42,9878409.0
48.0,48,47.67,47.75,9846675.0
47.81,48,47.75,48.24,7155874.0
47.96,48,47.9451,48.19,8659765.0
48.61,49,47.91,49.76,9523520.0
50.0,51,49.46,51.36,10850327.0
51.4,51,50.4,51.4,7333255.0
51.07,51,50.7007,51.45,9821775.0
51.98,53,51.49,52.705,20248074.0
52.68,52,51.695,51.87,9843392.0
51.7,51,50.01,51.19,9235688.0
50.58,50,47.66,48.88,18050280.0
48.5,49,48.01,48.285,9400367.0
48.65,49,48.51,49.39,8084568.0
49.41,50,48.8,48.95,5589831.0
48.21,48,46.9,47.005,11384951.0
46.78,47,46.15,47.045,10116405.0
47.4,49,47.4,49.06,11427992.0
49.23,49,48.93,49.04,6478195.0
49.0,50,48.8,49.645,8036689.0
49.11,49,48.63,48.85,6820544.0
49.27,49,48.4,48.49,8553119.0
48.94,49,48.5,48.815,7980104.0
49.41,49,48.56,48.665,6650381.0
48.56,49,48.38,49.0,6152250.0
49.45,49,47.7,47.85,14984942.0
47.56,47,42.97,43.06,51460347.0
43.19,43,42.4,42.47,23895773.0
42.7,42,42.02,42.61,16113065.0
43.05,43,41.36,41.555,17481066.0
41.65,42,41.6,42.24,13017827.0
42.25,42,41.77,41.97,9238835.0
41.68,42,41.32,42.37,13236123.0
42.61,44,42.09,44.18,21917072.0
43.3,44,43.04,43.775,14832921.0
43.35,43,43.01,43.13,13272584.0
43.05,43,41.88,42.17,14128026.0
42.13,42,41.71,41.72,9951149.0
41.07,41,39.27,39.86,25757794.0
38.8,40,38.45,40.325,27024764.0
40.21,41,39.7,40.43,15731942.0
40.79,41,39.94,40.02,10116732.0
39.84,40,39.76,40.705,10333824.0
40.35,41,40.01,40.07,8830268.0
